Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
110.0,Estimates,Philippines,,608.0,0.005,0.008,0.003,-1.63,-1.233,-1.414,-0.695,-1.028,-1.532,-2.072,-2.675,-4.083,-1.445
111.0,Estimates,Singapore,,702.0,11.263,9.252,0.049,-0.037,0.543,1.22,10.76,8.37,15.321,13.795,20.709,18.768,14.9
112.0,Estimates,Thailand,,764.0,0.0,0.0,0.0,0.0,2.033,1.281,1.376,1.892,-2.788,2.282,3.432,-2.591,0.297
113.0,Estimates,Timor-Leste,,626.0,0.212,0.7,0.256,0.301,0.709,-30.272,3.337,-1.388,-1.049,-36.641,0.003,-20.511,-8.922
114.0,Estimates,Viet Nam,,704.0,0.0,0.0,0.0,0.0,0.0,-3.155,-1.126,-1.028,-1.1,-0.556,-1.878,-2.034,-0.44
115.0,Estimates,Western Asia,,922.0,1.354,1.104,0.774,-0.143,0.721,1.047,1.852,-0.34,-0.093,-0.523,1.807,5.827,2.46
116.0,Estimates,Armenia,,51.0,6.838,9.239,6.909,8.757,6.467,2.413,-1.388,-3.388,-29.332,-14.216,-9.454,-9.1,-0.66
117.0,Estimates,Azerbaijan,9.0,31.0,0.638,3.23,3.134,2.069,0.538,-0.949,-1.272,-3.42,-2.818,-3.016,0.255,-2.192,-0.342
118.0,Estimates,Bahrain,,48.0,5.076,10.677,-4.963,-7.191,15.943,31.256,1.64,5.637,2.069,14.005,34.814,59.491,4.535
119.0,Estimates,Cyprus,10.0,196.0,-5.391,-2.411,-14.915,-2.626,0.967,-0.364,-7.957,4.67,10.652,11.844,12.517,8.27,6.17
120.0,Estimates,Georgia,11.0,268.0,5.654,3.786,2.367,1.052,-1.338,-3.163,-0.719,-2.292,-20.672,-15.902,-13.408,-13.273,-14.367
121.0,Estimates,Iraq,,368.0,-0.018,-0.032,-0.048,-0.15,-0.159,-0.754,-2.736,-7.626,-1.634,-0.163,-2.106,-3.16,3.261
122.0,Estimates,Israel,,376.0,35.227,17.597,18.104,5.394,10.725,3.533,0.133,3.049,18.592,8.65,3.263,7.805,0.504
123.0,Estimates,Jordan,,400.0,44.983,31.087,7.113,36.669,-3.264,-7.573,6.451,7.699,20.914,-8.287,-3.719,15.189,6.508
124.0,Estimates,Kuwait,,414.0,18.897,28.713,82.565,44.641,24.24,18.502,12.303,11.677,-62.87,11.047,13.26,39.225,29.777
125.0,Estimates,Lebanon,,422.0,0.225,4.795,2.053,-6.379,-0.821,-20.845,-16.235,-16.956,6.276,-1.878,30.468,8.812,49.078
126.0,Estimates,Oman,,512.0,-4.201,-3.818,-3.399,-1.483,6.344,15.009,12.289,1.349,9.361,-18.765,3.409,13.613,65.158
127.0,Estimates,Qatar,,634.0,37.137,21.611,54.073,45.741,50.234,29.187,68.661,27.145,-9.188,15.657,51.831,131.391,36.342
128.0,Estimates,Saudi Arabia,,682.0,1.574,1.359,5.643,7.004,14.832,22.966,23.917,7.952,-0.284,0.598,8.193,6.17,5.702
129.0,Estimates,State of Palestine,12.0,275.0,-14.338,-13.214,-13.736,-48.979,-5.273,-11.826,-7.521,-4.078,2.966,4.793,-11.171,-4.707,-2.003
130.0,Estimates,Syrian Arab Republic,,760.0,-3.817,-0.705,-0.641,-0.543,-2.338,-3.915,-1.773,-2.535,-1.045,-1.695,-4.406,3.809,-41.098
131.0,Estimates,Turkey,,792.0,-0.174,-0.714,-1.77,-1.945,-1.703,-1.772,-0.333,-0.582,-0.711,-0.493,-0.305,-0.143,5.299
132.0,Estimates,United Arab Emirates,,784.0,-0.37,-0.407,62.375,55.811,127.937,101.086,29.669,33.009,31.414,35.883,62.665,109.059,9.264
133.0,Estimates,Yemen,,887.0,-2.181,-3.02,-3.709,-8.345,-10.903,-2.02,-1.121,-0.92,9.884,-1.21,-1.044,0.0,-0.397
134.0,Estimates,EUROPE,,908.0,-0.462,-0.856,0.129,-0.084,0.624,0.608,0.466,0.721,1.572,0.924,2.273,2.32,1.119
135.0,Estimates,Eastern Europe,,923.0,-0.121,-1.603,-0.749,-0.367,-0.163,0.329,0.55,-0.102,0.9,0.586,0.752,1.225,0.629
136.0,Estimates,Belarus,,112.0,-8.612,-4.115,-2.986,1.305,0.5,0.21,0.959,-0.125,-1.237,1.117,-0.13,1.337,2.539
137.0,Estimates,Bulgaria,,100.0,-3.193,-1.128,-0.036,-0.154,-1.008,-2.157,-0.501,-4.142,-8.3,-2.607,-2.117,-2.2,-1.374
138.0,Estimates,Czech Republic,,203.0,1.315,-0.769,0.516,-2.633,0.201,0.196,-1.025,0.11,0.581,0.893,0.925,4.839,0.57
139.0,Estimates,Hungary,,348.0,0.517,-3.516,0.079,-0.193,-0.114,0.962,-2.24,-1.904,1.867,1.527,1.302,1.905,0.604
140.0,Estimates,Poland,,616.0,0.0,-1.162,-0.067,-0.89,-1.021,-0.61,-0.447,-2.426,-1.253,-1.266,0.198,0.027,-0.382
